precision,workload_type,workload_function,dims,iterations
bf16,nonlinear,softmax,"(131072, 768)",-1
fp16,nonlinear,softmax,"(131072, 768)",-1
fp32,nonlinear,softmax,"(131072, 768)",-1
bf16,nonlinear,softmax,"(131072, 832)",-1
fp16,nonlinear,softmax,"(131072, 832)",-1
fp32,nonlinear,softmax,"(131072, 832)",-1
bf16,nonlinear,softmax,"(131072, 896)",-1
fp16,nonlinear,softmax,"(131072, 896)",-1
fp32,nonlinear,softmax,"(131072, 896)",-1
bf16,nonlinear,softmax,"(131072, 960)",-1
fp16,nonlinear,softmax,"(131072, 960)",-1
fp32,nonlinear,softmax,"(131072, 960)",-1
bf16,nonlinear,softmax,"(16384, 1024)",-1
fp16,nonlinear,softmax,"(16384, 1024)",-1
fp32,nonlinear,softmax,"(16384, 1024)",-1
bf16,nonlinear,softmax,"(16384, 128)",-1
fp16,nonlinear,softmax,"(16384, 128)",-1
fp32,nonlinear,softmax,"(16384, 128)",-1
bf16,nonlinear,softmax,"(16384, 192)",-1
fp16,nonlinear,softmax,"(16384, 192)",-1
fp32,nonlinear,softmax,"(16384, 192)",-1
bf16,nonlinear,softmax,"(16384, 256)",-1
fp16,nonlinear,softmax,"(16384, 256)",-1
fp32,nonlinear,softmax,"(16384, 256)",-1
bf16,nonlinear,softmax,"(16384, 320)",-1
fp16,nonlinear,softmax,"(16384, 320)",-1
fp32,nonlinear,softmax,"(16384, 320)",-1
bf16,nonlinear,softmax,"(16384, 384)",-1
fp16,nonlinear,softmax,"(16384, 384)",-1
fp32,nonlinear,softmax,"(16384, 384)",-1
bf16,nonlinear,softmax,"(16384, 448)",-1
fp16,nonlinear,softmax,"(16384, 448)",-1
fp32,nonlinear,softmax,"(16384, 448)",-1
bf16,nonlinear,softmax,"(16384, 512)",-1
fp16,nonlinear,softmax,"(16384, 512)",-1
fp32,nonlinear,softmax,"(16384, 512)",-1
bf16,nonlinear,softmax,"(16384, 576)",-1
fp16,nonlinear,softmax,"(16384, 576)",-1
fp32,nonlinear,softmax,"(16384, 576)",-1
bf16,nonlinear,softmax,"(16384, 640)",-1
fp16,nonlinear,softmax,"(16384, 640)",-1
fp32,nonlinear,softmax,"(16384, 640)",-1
bf16,nonlinear,softmax,"(16384, 704)",-1
fp16,nonlinear,softmax,"(16384, 704)",-1
fp32,nonlinear,softmax,"(16384, 704)",-1
bf16,nonlinear,softmax,"(16384, 768)",-1
fp16,nonlinear,softmax,"(16384, 768)",-1
fp32,nonlinear,softmax,"(16384, 768)",-1
bf16,nonlinear,softmax,"(16384, 832)",-1
fp16,nonlinear,softmax,"(16384, 832)",-1
fp32,nonlinear,softmax,"(16384, 832)",-1
bf16,nonlinear,softmax,"(16384, 896)",-1
fp16,nonlinear,softmax,"(16384, 896)",-1
fp32,nonlinear,softmax,"(16384, 896)",-1
