op,size,iter,root,in_place
sendrecv,26214,1000000,0,False
alltoall,29491,1000000,0,False
sendrecv,29491,1000000,0,False
alltoall,32768,1000000,0,False
sendrecv,32768,1000000,0,False
alltoall,39321,1000000,0,False
sendrecv,39321,1000000,0,False
alltoall,45875,1000000,0,False
sendrecv,45875,1000000,0,False
alltoall,52428,1000000,0,False
sendrecv,52428,1000000,0,False
alltoall,58982,1000000,0,False
sendrecv,58982,1000000,0,False
alltoall,65536,1000000,0,False
sendrecv,65536,1000000,0,False
alltoall,78643,1000000,0,False
sendrecv,78643,1000000,0,False
alltoall,91750,1000000,0,False
sendrecv,91750,1000000,0,False
alltoall,104857,1000000,0,False
sendrecv,104857,1000000,0,False
alltoall,117964,1000000,0,False
sendrecv,117964,1000000,0,False
alltoall,131072,1000000,0,False
sendrecv,131072,1000000,0,False
alltoall,157286,1000000,0,False
sendrecv,157286,1000000,0,False
alltoall,183500,1000000,0,False
sendrecv,183500,1000000,0,False
alltoall,209715,1000000,0,False
sendrecv,209715,1000000,0,False
alltoall,235929,1000000,0,False
sendrecv,235929,1000000,0,False
alltoall,262144,1000000,0,False
sendrecv,262144,1000000,0,False
alltoall,314572,1000000,0,False
sendrecv,314572,1000000,0,False
alltoall,367001,1000000,0,False
sendrecv,367001,1000000,0,False
alltoall,419430,1000000,0,False
sendrecv,419430,1000000,0,False
alltoall,471859,1000000,0,False
sendrecv,471859,1000000,0,False
alltoall,524288,1000000,0,False
sendrecv,524288,1000000,0,False
alltoall,629145,1000000,0,False
sendrecv,629145,1000000,0,False
alltoall,734003,1000000,0,False
sendrecv,734003,1000000,0,False
alltoall,838860,1000000,0,False
sendrecv,838860,1000000,0,False
alltoall,943718,1000000,0,False
sendrecv,943718,1000000,0,False
alltoall,1048576,1000000,0,False
sendrecv,1048576,1000000,0,False
alltoall,1258291,1000000,0,False
sendrecv,1258291,1000000,0,False
alltoall,1468006,1000000,0,False
sendrecv,1468006,1000000,0,False
alltoall,1677721,1000000,0,False
sendrecv,1677721,1000000,0,False
alltoall,1887436,1000000,0,False
sendrecv,1887436,1000000,0,False
alltoall,2097152,500000,0,False
sendrecv,2097152,500000,0,False
alltoall,2516582,500000,0,False
sendrecv,2516582,500000,0,False
alltoall,2936012,500000,0,False
sendrecv,2936012,500000,0,False
alltoall,3355443,500000,0,False
sendrecv,3355443,500000,0,False
alltoall,3774873,500000,0,False
sendrecv,3774873,500000,0,False
alltoall,4194304,333333,0,False
sendrecv,4194304,333333,0,False
alltoall,5033164,333333,0,False
sendrecv,5033164,333333,0,False
alltoall,5872025,333333,0,False
sendrecv,5872025,333333,0,False
alltoall,6710886,333333,0,False
sendrecv,6710886,333333,0,False
alltoall,7549747,333333,0,False
sendrecv,7549747,333333,0,False
alltoall,8388608,250000,0,False
sendrecv,8388608,250000,0,False
alltoall,10066329,250000,0,False
sendrecv,10066329,250000,0,False
alltoall,11744051,250000,0,False
sendrecv,11744051,250000,0,False
alltoall,13421772,250000,0,False
sendrecv,13421772,250000,0,False
alltoall,15099494,250000,0,False
sendrecv,15099494,250000,0,False
alltoall,16777216,200000,0,False
sendrecv,16777216,200000,0,False
alltoall,20132659,200000,0,False
sendrecv,20132659,200000,0,False
alltoall,23488102,200000,0,False
sendrecv,23488102,200000,0,False
alltoall,26843545,200000,0,False
sendrecv,26843545,200000,0,False
alltoall,30198988,200000,0,False
sendrecv,30198988,200000,0,False
alltoall,33554432,166666,0,False
sendrecv,33554432,166666,0,False
alltoall,40265318,166666,0,False
sendrecv,40265318,166666,0,False
alltoall,46976204,166666,0,False
sendrecv,46976204,166666,0,False
alltoall,53687091,166666,0,False
sendrecv,53687091,166666,0,False
alltoall,60397977,166666,0,False
sendrecv,60397977,166666,0,False
alltoall,67108864,142857,0,False
sendrecv,67108864,142857,0,False
alltoall,80530636,142857,0,False
sendrecv,80530636,142857,0,False
alltoall,93952409,142857,0,False
sendrecv,93952409,142857,0,False
alltoall,107374182,142857,0,False
sendrecv,107374182,142857,0,False
alltoall,120795955,142857,0,False
sendrecv,120795955,142857,0,False
alltoall,134217728,100000,0,False
sendrecv,134217728,100000,0,False
alltoall,161061273,100000,0,False
sendrecv,161061273,100000,0,False
alltoall,187904819,100000,0,False
sendrecv,187904819,100000,0,False
alltoall,214748364,100000,0,False
sendrecv,214748364,100000,0,False
alltoall,241591910,100000,0,False
sendrecv,241591910,100000,0,False
alltoall,268435456,50000,0,False
sendrecv,268435456,50000,0,False
alltoall,322122547,50000,0,False
sendrecv,322122547,50000,0,False
alltoall,375809638,50000,0,False
sendrecv,375809638,50000,0,False
alltoall,429496729,50000,0,False
sendrecv,429496729,50000,0,False
alltoall,483183820,50000,0,False
sendrecv,483183820,50000,0,False
alltoall,536870912,33333,0,False
sendrecv,536870912,33333,0,False
alltoall,644245094,33333,0,False
sendrecv,644245094,33333,0,False
alltoall,751619276,33333,0,False
sendrecv,751619276,33333,0,False
alltoall,858993459,33333,0,False
sendrecv,858993459,33333,0,False
alltoall,966367641,33333,0,False
sendrecv,966367641,33333,0,False
